#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	6772588	113	Y	N	1	*	4
contig_668	4743193	187	Y	N	2	*	668
contig_670	4734738	178	Y	N	1	*	670
contig_390	4007375	373	N	N	3	*	390
contig_488	2984690	393	N	N	3	*	-610,488,-610
contig_238	2827652	351	N	N	3	*	-610,238,-610
contig_2	1881929	348	Y	N	3	*	2
contig_872	1352792	344	N	N	3	*	-532,-529,872,532
contig_533	1055115	376	N	N	3	*	532,533,-532
contig_43	785469	13	N	N	1	*	873,43
contig_228	750723	13	N	N	1	*	258,228,-900,*
contig_231	700812	13	N	N	1	*	*,17,24,231,352,353,*
contig_898	642777	13	N	N	1	*	38,41,898,*
contig_190	614907	13	N	N	1	*	42,51,51,51,51,51,51,51,51,51,190
contig_49	547905	17	N	N	1	*	49,-264
contig_380	541983	8	N	N	1	*	*,380,*
contig_35	535510	13	N	N	1	*	*,14,15,21,18,19,20,12,20,20,12,12,12,13,14,15,17,35,*
contig_47	535032	13	N	N	1	*	47,352,353,*
contig_478	465834	8	N	N	1	*	*,478,*
contig_29	448990	13	N	N	1	*	*,18,22,17,29
contig_145	442469	12	N	N	1	*	145,256,257,258
contig_25	440286	12	N	N	1	*	*,12,25,*
contig_191	421831	8	N	N	1	*	*,191,*
contig_50	421170	13	N	N	1	*	50,-522
contig_72	412813	7	N	N	1	*	*,72,*
contig_62	404506	8	N	N	1	*	*,62,*
contig_230	399551	12	N	N	1	*	258,230,-143
contig_878	392732	13	N	N	1	*	143,878,256,257,258
contig_469	379774	9	N	N	1	*	*,469,*
contig_423	327941	7	N	N	1	*	*,423,*
contig_273	318301	13	N	N	1	*	*,273,-873
contig_52	313667	13	N	N	1	*	42,51,51,51,51,51,51,51,51,51,51,52,-22,-21,-15,-14,-14,-13,-12,-12,-12,-20,-20,-19,-18,*
contig_500	295101	13	N	N	1	*	500
contig_63	293336	7	N	N	1	*	*,63,*
contig_294	286082	7	N	N	1	*	294,*
contig_860	278038	13	N	N	1	*	*,14,15,16,27,860
contig_5	268638	7	N	N	1	*	*,5,-281,-278,-277
contig_91	265475	7	N	N	1	*	*,91,*
contig_354	238725	13	N	N	1	*	354,-51,-51,-51,-51,-51,-51,-51,-51,-51
contig_53	234792	13	N	N	1	*	51,51,51,51,51,51,51,51,53,*
contig_128	232352	8	N	N	1	*	*,128,*
contig_916	227466	13	N	N	1	*	916,*
contig_471	199607	9	N	N	1	*	471,*
contig_88	199198	8	N	N	1	*	88,*
contig_59	192277	7	N	N	1	*	*,59,*
contig_859	192091	11	N	N	1	*	*,18,18,22,17,24,859,312,*
contig_249	162858	9	N	N	1	*	249
contig_55	159865	12	N	N	1	*	51,51,51,51,51,51,51,51,55,*
contig_40	159191	15	N	N	1	*	38,40
contig_421	157518	7	N	N	1	*	*,421,*
contig_45	156240	13	N	N	1	*	45,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51
contig_64	154522	4	N	N	1	*	*,64,*
contig_804	152966	7	N	N	1	*	804,*
contig_895	150331	8	N	N	1	*	*,895,*
contig_31	149101	12	N	N	1	*	*,12,12,13,14,14,15,21,22,16,31,-51,-51,-51,-51,-51,-51,-51,-51,-51,-42
contig_370	148724	6	N	N	1	*	*,370,*
contig_58	144444	6	N	N	1	*	*,58,66,70,75,156
contig_864	142274	9	N	N	1	*	864,*
contig_182	141727	8	N	N	1	*	-875,182
contig_527	139599	4	N	N	1	*	*,527,*
contig_578	139308	7	N	N	1	*	*,578,*
contig_30	137032	14	N	N	1	*	*,13,14,14,15,21,30,-51,-51,-51,-51,-51,-51,-51,-51,-51,-42
contig_909	134274	358	N	N	3	*	532,909,529,532
contig_147	132503	4	N	N	1	*	*,147,*
contig_566	125133	4	N	N	1	*	*,566,*
contig_499	123483	12	N	N	1	*	*,499
contig_90	122424	7	N	N	1	*	90,-138
contig_496	120316	7	N	N	1	*	*,496,*
contig_98	119633	7	N	N	1	*	98,134
contig_460	118393	8	N	N	1	*	*,460,*
contig_150	118111	8	N	N	1	*	304,303,150,*
contig_721	114910	6	N	N	1	*	*,721,*
contig_531	111789	360	N	N	3	*	532,531,532
contig_398	111320	4	N	N	1	*	*,398,*
contig_894	111278	7	N	N	1	*	*,894,*
contig_929	109642	189	Y	N	2	*	929
contig_142	105485	12	N	N	1	*	142
contig_862	105143	8	N	N	1	*	*,862,-164,-164,-164,-163,-163,-163
contig_480	104634	3	N	N	1	*	*,480,*
