#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_793	6772589	113	Y	N	1	*	793
contig_662	4743466	187	Y	N	2	*	662
contig_663	4734236	178	Y	N	1	*	663
contig_308	4023086	373	N	N	3	*	308,880,880,306,880
contig_476	2984691	393	N	N	3	*	-603,476,-603
contig_216	2827653	351	N	N	3	*	-603,216,-603
contig_2	1882051	348	Y	N	3	*	2
contig_863	1352794	344	N	N	3	*	-524,-521,863,524
contig_525	1055272	376	N	N	3	*	524,525,-524
contig_112	785584	13	N	N	1	*	93,112
contig_195	750838	13	N	N	1	*	*,894,195,198
contig_243	701205	13	N	N	1	*	96,243,333,334,*
contig_878	625045	13	N	N	1	*	*,878,-399
contig_861	614686	12	N	N	1	*	861,-122,-121,-121,-121,-121,-121,-121,-121,-121,-111
contig_118	547905	17	N	N	1	*	118,-238
contig_364	542002	8	N	N	1	*	*,364,*
contig_101	535481	13	N	N	1	*	-102,91,103,104,-102,101,*
contig_117	535068	13	N	N	1	*	117,333,334,*
contig_465	465850	8	N	N	1	*	*,465,-491,*
contig_95	449039	13	N	N	1	*	86,87,95
contig_141	441683	12	N	N	1	*	141,-200,-198
contig_107	440531	12	N	N	1	*	104,105,107,*
contig_865	421845	8	N	N	1	*	*,865,*
contig_120	421167	13	N	N	1	*	120,-415
contig_43	412903	7	N	N	1	*	*,43,*
contig_62	404506	8	N	N	1	*	*,62,*
contig_197	400090	12	N	N	1	*	-198,197,136,*
contig_864	392005	13	N	N	1	*	*,-136,864,-200,-198
contig_508	379774	9	N	N	1	*	*,508,*
contig_405	327941	7	N	N	1	*	*,405,*
contig_262	321701	7	N	N	1	*	*,262,-491,*
contig_275	318300	13	N	N	1	*	*,275,-93
contig_123	313551	13	N	N	1	*	111,121,121,121,121,121,121,121,121,122,123,-89,102,-106,-105,-104,-103,-91
contig_379	295101	13	N	N	1	*	379
contig_64	293336	7	N	N	1	*	*,64,*
contig_860	277750	13	N	N	1	*	-102,87,92,860
contig_726	269757	7	N	N	1	*	246,247,247,247,249,726,*
contig_47	265473	7	N	N	1	*	*,47,*
contig_352	238902	13	N	N	1	*	352,-122,-121,-121,-121,-121,-121,-121,-121,-121
contig_124	234798	13	N	N	1	*	121,121,121,121,121,121,121,122,124,*
contig_474	232371	8	N	N	1	*	*,474,*
contig_910	226511	13	N	N	1	*	910,*
contig_458	199607	9	N	N	1	*	458,*
contig_70	199198	8	N	N	1	*	70,*
contig_60	192277	7	N	N	1	*	*,60,*
contig_881	192099	11	N	N	1	*	*,-313,881,-96,-89,-86,-90
contig_11	163305	9	N	N	1	*	11
contig_126	159891	12	N	N	1	*	121,121,121,121,121,121,121,122,126,*
contig_119	159206	15	N	N	1	*	119,-355
