#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_36	6763397	88	Y	N	1	*	36
contig_148	3264368	21	N	N	1	*	148,-275,-149,-275
contig_1	2973851	2322	Y	N	8	*	1
contig_150	740468	22	N	N	1	*	275,150
contig_238	273848	5	N	N	1	*	*,238,*
contig_22	208236	4	N	N	1	*	*,22,*
contig_250	187719	4	N	N	1	*	*,250,*
contig_101	187234	4	N	N	1	*	*,101,*
contig_84	181734	5	N	N	1	*	*,62,63,84,*
contig_33	174579	4	N	N	1	*	*,33,*
contig_37	172332	4	N	N	1	*	*,37,*
contig_210	168706	6	N	N	1	*	*,210,*
contig_23	162557	4	N	N	1	*	*,23,*
contig_59	146745	5	N	N	1	*	*,59,*
contig_11	138365	3	N	N	1	*	*,11,*
contig_76	133362	6	N	N	1	*	*,76,*
contig_141	131128	4	N	N	1	*	*,141,*
contig_263	128128	4	N	N	1	*	*,263,*
contig_152	124657	4	N	N	1	*	*,152,*
contig_124	121039	4	N	N	1	*	*,124,*
contig_53	107807	5	N	N	1	*	*,53,*
contig_118	105949	4	N	N	1	*	*,118,*
contig_54	104065	4	N	N	1	*	*,54,*
contig_14	101807	3	N	N	1	*	*,14,*
contig_251	101800	3	N	N	1	*	*,251,*
contig_47	99078	4	N	N	1	*	*,47,*
contig_106	95825	4	N	N	1	*	*,106,*
contig_242	95803	4	N	N	1	*	*,242,*
contig_93	94916	4	N	N	1	*	*,93,*
contig_35	89766	4	N	N	1	*	*,35,*
contig_50	88072	4	N	N	1	*	*,50,*
contig_67	87491	4	N	N	1	*	*,63,67,*
contig_89	86989	4	N	N	1	*	*,89,*
contig_112	86757	4	N	N	1	*	*,112,*
contig_43	84540	4	N	N	1	*	*,43,*
contig_25	84049	4	N	N	1	*	*,25,*
contig_267	83635	4	N	N	1	*	*,267,*
contig_77	81753	4	N	N	1	*	*,77,*
contig_204	81750	4	N	N	1	*	*,204,*
contig_187	81439	4	N	N	1	*	*,187,*
contig_86	80153	4	N	N	1	*	*,86,*
contig_274	79849	55	Y	N	1	*	274
contig_214	79412	3	N	N	1	*	*,214,*
contig_105	78682	5	N	N	1	*	*,105,*
contig_21	78031	4	N	N	1	*	*,21,*
contig_270	77875	4	N	N	1	*	*,270,*
contig_16	76822	4	N	N	1	*	*,16,*
contig_85	76707	4	N	N	1	*	*,85,*
contig_114	76467	4	N	N	1	*	*,114,*
contig_158	75440	4	N	N	1	*	*,158,*
contig_185	73035	6	N	N	1	*	*,185,*
contig_136	72653	2	N	N	1	*	*,136,*
contig_64	72551	4	N	N	1	*	*,62,64,*
contig_227	71787	3	N	N	1	*	*,227,*
contig_224	70970	4	N	N	1	*	*,224,*
contig_279	70095	5	N	N	1	*	*,279,*
contig_228	69036	4	N	N	1	*	*,228,*
contig_120	67022	4	N	N	1	*	78,120,*
contig_87	67006	3	N	N	1	*	*,87,*
contig_48	64900	3	N	N	1	*	*,48,*
contig_107	64605	5	N	N	1	*	*,107,*
contig_140	63371	5	N	N	1	*	*,140,*
contig_58	63034	5	N	N	1	*	*,58,*
contig_137	60223	3	N	N	1	*	*,137,*
contig_254	59795	3	N	N	1	*	*,254,*
contig_9	59707	4	N	N	1	*	*,9,*
contig_92	59091	4	N	N	1	*	*,92,*
contig_262	58557	4	N	N	1	*	*,262,*
contig_90	57814	3	N	N	1	*	*,90,*
contig_143	57249	3	N	N	1	*	*,143,*
contig_131	56693	3	N	N	1	*	*,131,*
contig_51	55733	5	N	N	1	*	*,51,*
contig_83	55396	4	N	N	1	*	-78,83,*
contig_125	54307	5	N	N	1	*	*,125,*
contig_184	54279	4	N	N	1	*	*,184,*
contig_102	53591	5	N	N	1	*	*,102,*
contig_49	53027	6	N	N	1	*	*,49,*
contig_126	52979	5	N	N	1	*	*,126,*
contig_188	52135	3	N	N	1	*	*,188,*
contig_166	51956	4	N	N	1	*	*,166,*
contig_57	51226	5	N	N	1	*	*,57,*
contig_111	50906	4	N	N	1	*	*,111,*
contig_175	49901	4	N	N	1	*	*,175,*
contig_113	49893	4	N	N	1	*	*,113,*
contig_168	49804	4	N	N	1	*	*,168,*
contig_179	49584	4	N	N	1	*	*,179,*
contig_277	48944	5	N	N	1	*	*,277,*
contig_194	48488	3	N	N	1	*	*,194,*
contig_139	48334	3	N	N	1	*	*,139,*
contig_95	47730	4	N	N	1	*	*,95,*
contig_17	46090	3	N	N	1	*	*,17,*
contig_276	45540	4	N	N	1	*	*,276,*
contig_193	45441	5	N	N	1	*	*,193,*
contig_248	45390	4	N	N	1	*	*,248,*
contig_29	44938	4	N	N	1	*	*,29,*
contig_99	43336	4	N	N	1	*	*,99,*
contig_12	43306	4	N	N	1	*	*,12
contig_56	43288	3	N	N	1	*	*,56,*
contig_26	43243	3	N	N	1	*	*,26,*
contig_151	42673	4	N	N	1	*	*,151,*
contig_121	41930	3	N	N	1	*	78,121,*
contig_80	41916	4	N	N	1	*	-78,80,*
contig_74	41806	4	N	N	1	*	*,74,*
contig_73	41381	3	N	N	1	*	*,73,*
contig_94	41158	3	N	N	1	*	*,94,*
contig_177	41037	3	N	N	1	*	*,177,*
contig_32	40652	4	N	N	1	*	*,32,*
contig_81	40458	4	N	N	1	*	-78,81,*
contig_79	40422	5	N	N	1	*	-78,79,78
contig_176	40399	5	N	N	1	*	*,176,*
contig_91	40211	3	N	N	1	*	*,91,*
contig_165	40030	4	N	N	1	*	*,165,*
contig_240	39256	3	N	N	1	*	*,240,*
contig_30	39159	3	N	N	1	*	*,30,*
contig_211	38722	4	N	N	1	*	*,211,*
contig_19	38713	3	N	N	1	*	*,19,*
contig_55	38244	6	N	N	1	*	*,55,*
contig_18	38217	3	N	N	1	*	*,18,*
contig_40	37305	3	N	N	1	*	*,40,*
contig_249	36956	4	N	N	1	*	*,249,*
contig_72	36845	3	N	N	1	*	*,72,*
contig_117	36673	4	N	N	1	*	*,117,*
contig_34	35799	5	N	N	1	*	*,34,*
contig_60	35705	4	N	N	1	*	*,60,*
contig_156	35227	3	N	N	1	*	*,156,*
contig_153	35188	3	N	N	1	*	*,153,*
contig_230	34044	4	N	N	1	*	*,230,*
contig_164	33492	5	N	N	1	*	*,164,*
contig_38	33224	3	N	N	1	*	*,38,*
contig_162	32953	3	N	N	1	*	*,162,*
contig_133	32783	4	N	N	1	*	*,133,*
contig_217	32706	4	N	N	1	*	*,217,*
contig_100	32607	3	N	N	1	*	*,100,*
contig_271	32414	3	N	N	1	*	*,271,*
contig_27	31968	4	N	N	1	*	*,27,*
contig_231	31930	6	N	N	1	*	*,231,*
contig_169	31916	5	N	N	1	*	*,169,*
contig_268	31855	5	N	N	1	*	*,268,*
contig_222	31576	5	N	N	1	*	*,222,*
contig_144	31421	3	N	N	1	*	*,144,*
contig_108	31399	4	N	N	1	*	*,108,*
contig_42	31398	4	N	N	1	*	*,42,*
contig_212	30840	3	N	N	1	*	*,212,*
contig_115	30783	4	N	N	1	*	*,115,*
contig_134	30514	3	N	N	1	*	*,134,*
contig_233	30482	8	N	N	1	*	232,233,*
contig_116	30125	3	N	N	1	*	*,116,*
contig_174	29949	3	N	N	1	*	*,174,*
contig_75	29496	3	N	N	1	*	*,75,*
contig_247	29457	4	N	N	1	*	*,247,*
contig_195	29382	3	N	N	1	*	*,195,*
contig_88	29284	4	N	N	1	*	*,88,*
contig_15	29068	3	N	N	1	*	*,15,*
contig_182	28781	4	N	N	1	*	*,182,*
contig_154	28733	3	N	N	1	*	*,154,*
contig_110	28488	4	N	N	1	*	*,110,*
contig_103	28468	3	N	N	1	*	*,103,*
contig_135	28407	4	N	N	1	*	*,135,*
contig_128	27534	5	N	N	1	*	*,128,*
contig_104	27107	5	N	N	1	*	*,104,*
contig_130	26825	4	N	N	1	*	*,130,*
contig_234	25566	3	N	N	1	*	*,234,*
contig_253	25408	3	N	N	1	*	*,253,*
contig_189	25379	3	N	N	1	*	*,189,*
contig_215	25291	3	N	N	1	*	*,215,*
contig_71	25256	4	N	N	1	*	*,71,*
contig_145	25003	3	N	N	1	*	*,145,*
contig_209	24884	4	N	N	1	*	*,209,*
contig_265	24810	3	N	N	1	*	*,265,*
contig_147	24656	4	N	N	1	*	*,147,*
contig_31	24598	3	N	N	1	*	*,31,*
contig_155	23758	6	N	N	1	*	*,155,*
contig_52	23428	4	N	N	1	*	*,52,*
contig_197	23061	4	N	N	1	*	*,197,*
contig_191	23049	3	N	N	1	*	*,191,*
contig_196	22884	4	N	N	1	*	*,196,*
contig_180	22509	3	N	N	1	*	*,180,*
contig_236	22402	3	N	N	1	*	*,236,*
contig_65	22281	3	N	N	1	*	*,65,*
contig_129	22207	3	N	N	1	*	*,129,*
contig_219	22188	3	N	N	1	*	*,219,*
contig_256	22124	3	N	N	1	*	*,256,*
contig_138	21841	5	N	N	1	*	*,138,*
contig_186	21751	4	N	N	1	*	*,186,*
contig_170	21549	4	N	N	1	*	*,170,*
contig_235	20612	3	N	N	1	*	*,235,*
contig_220	20546	4	N	N	1	*	*,220,*
contig_167	20430	6	N	N	1	*	*,167,*
contig_272	20243	3	N	N	1	*	*,272,*
contig_239	20055	3	N	N	1	*	*,239,*
contig_157	19791	4	N	N	1	*	*,157,*
contig_216	18060	3	N	N	1	*	*,216,*
contig_232	17452	8	N	Y	1	*	232
contig_273	17392	6	N	N	1	*	*,273,*
contig_198	17268	3	N	N	1	*	*,198,*
contig_178	17030	3	N	N	1	*	*,178,*
contig_163	16955	3	N	N	1	*	*,163,*
contig_257	16599	4	N	N	1	*	*,257,*
contig_199	16341	4	N	N	1	*	*,199,*
contig_269	15987	3	N	N	1	*	*,269,*
contig_109	15917	5	N	N	1	*	*,109,*
