#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_14	6764296	88	Y	N	1	*	14
contig_1	3264294	21	N	N	1	*	1,270,2,270
contig_7	2974020	2323	Y	N	8	*	7
contig_3	740522	22	N	N	1	*	3,270
contig_243	273848	5	N	N	1	*	*,243,*
contig_6	208236	4	N	N	1	*	*,6,*
contig_245	190583	4	N	N	1	*	*,36,37,245,*
contig_83	181734	5	N	N	1	*	56,57,83,*
contig_39	174579	4	N	N	1	*	*,39,*
contig_40	172332	4	N	N	1	*	*,40,*
contig_210	168706	6	N	N	1	*	*,210,*
contig_16	162557	4	N	N	1	*	*,16,*
contig_66	146745	5	N	N	1	*	*,66,*
contig_21	138365	3	N	N	1	*	*,21,*
contig_92	133362	6	N	N	1	*	*,92,*
contig_141	131128	4	N	N	1	*	*,141,*
contig_262	128128	4	N	N	1	*	*,262,*
contig_149	124657	4	N	N	1	*	*,149,*
contig_111	121039	4	N	N	1	*	*,111,*
contig_50	107807	5	N	N	1	*	*,50,*
contig_124	105949	4	N	N	1	*	*,124,*
contig_48	104065	4	N	N	1	*	*,48,*
contig_108	102407	4	N	N	1	*	*,108,*
contig_51	101807	3	N	N	1	*	*,51,*
contig_248	101800	3	N	N	1	*	*,248,*
contig_34	99078	4	N	N	1	*	*,34,*
contig_112	95815	4	N	N	1	*	*,112,*
contig_237	95803	4	N	N	1	*	*,237,*
contig_93	94916	4	N	N	1	*	*,93,*
contig_15	89766	4	N	N	1	*	*,15,*
contig_61	89294	4	N	N	1	*	*,37,57,61,*
contig_102	88944	5	N	N	1	*	*,102,*
contig_44	88072	4	N	N	1	*	*,44,*
contig_87	86989	4	N	N	1	*	*,87,*
contig_119	86757	4	N	N	1	*	*,119,*
contig_30	84540	4	N	N	1	*	*,30,*
contig_12	84049	4	N	N	1	*	*,12,*
contig_263	83635	4	N	N	1	*	*,263,*
contig_201	81791	4	N	N	1	*	*,201,*
contig_183	81439	4	N	N	1	*	*,183,*
contig_85	80153	4	N	N	1	*	*,85,*
contig_276	79852	55	Y	N	1	*	276
contig_212	79412	3	N	N	1	*	*,212,*
contig_110	78682	5	N	N	1	*	*,110,*
contig_5	78031	4	N	N	1	*	*,5,*
